text,label
Your bank account will be blocked,scam
Click here to update your KYC immediately,scam
Urgent OTP verification required,scam
Congratulations you won a prize,scam
Limited time offer click now,scam
Verify your account to avoid suspension,scam
Free recharge available click the link,scam
You are selected for a job pay registration fee,scam
Government subsidy credited check link,scam
Your PAN will be deactivated update now,scam
Income tax refund pending verify details,scam
Dear customer update KYC to continue services,scam
Account security alert click to secure,scam
Your SIM will be blocked today verify now,scam
Prize money waiting claim immediately,scam
Bank alert suspicious activity detected click link,scam
Loan approved instantly pay processing fee,scam
You have won lottery send details,scam
ATM card blocked update information,scam
Electricity connection will be disconnected pay now,scam
Courier delivery failed update address link,scam
WhatsApp account verification required click link,scam
Mobile number will be suspended today,scam
Free gift voucher available claim now,scam
Police case registered update details immediately,scam
Your Aadhaar is suspended verify now,scam
Insurance policy expired renew immediately,scam
COVID relief fund credited check link,scam
PM Kisan amount credited verify link,scam
Gas subsidy pending update bank details,scam
रेलवे टिकट रद्द हो गया विवरण अपडेट करें,scam
आपका बैंक खाता ब्लॉक हो जाएगा अभी अपडेट करें,scam
మీ బ్యాంక్ ఖాతా బ్లాక్ అవుతుంది ఇప్పుడే అప్‌డేట్ చేయండి,scam
OTP చెప్పకపోతే ఖాతా నిలిపివేయబడుతుంది,scam
Congratulations you are shortlisted pay joining fee,scam
Your Facebook account will be disabled verify now,scam
Your email will be closed update password,scam
Income tax notice issued respond immediately,scam
Your order has been shipped successfully,safe
Meeting scheduled tomorrow at 10 AM,safe
Your electricity bill is generated,safe
Bank statement is available in app,safe
Your mobile recharge was successful,safe
Class will resume from Monday,safe
Package delivered successfully,safe
Reminder for medical appointment,safe
Thank you for your payment,safe
Your train ticket is confirmed,safe
Water bill due date is next week,safe
Internet plan renewed successfully,safe
Salary credited to your account,safe
Your gas cylinder will be delivered today,safe
School holiday declared tomorrow,safe
Your Aadhaar update request is completed,safe
Electricity power shutdown notice,safe
Meeting postponed to next week,safe
Your OTP for login is valid for 10 minutes,safe
Recharge plan will expire tomorrow,safe
Bill payment received successfully,safe
Your appointment is confirmed,safe
Mobile data usage alert,safe
Exam schedule announced,safe
Library book due date reminder,safe
Your parcel is out for delivery,safe
Bus pass renewed successfully,safe
Your insurance premium receipt,safe
Thank you for contacting customer care,safe
Your application has been received,safe
Payment invoice generated,safe
Account balance updated,safe
Your request is under processing,safe
Hospital report is ready,safe
Electricity meter reading updated,safe
Gas booking confirmed,safe